Authors,Year,Article Title,Source Title,Abstract,DOI,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Method,Method Category,Asymmetric Rewiring Result,Habitat Coupling Result (Direction),Total Flux Result (Direction),Result description,Where result appears in paper,Model
"Sardenne, Fany and Simard, Manon and Robinson, Shawn M C and McKindsey, Christopher W",2020,Consumption of organic wastes from coastal salmon aquaculture by wild decapods,Science Of The Total Environment,"Rock crab Cancer irroratus and American lobster Homarus americanus are important commercial species in coastal areas where intensive salmon aquaculture occurs in eastern Canada. Such aquaculture releases organic wastes, especially feed waste (i.e. food pellets made in part from terrestrial feed ingredients). Terrestrial compounds from feed wastes were used to trace their consumption by the two decapods in the Bay of Fundy, Canada. Both species were collected in farms and reference sites and their fatty acid profiles evaluated. Individuals in close proximity to salmon farms were found to consume waste feed (high proportions of 18:1n-9 and 18:2n-6 and low proportions of 20:5n-3 and 22:6n-3). This consumption is associated with a reduction in diet diversity and a trend of increased lipid content in rock crab, suggesting that this species is more receptive to the waste feed than the American lobster, which did not show evidence of diet diversity loss and of increased lipid content. Fatty acid profiles from rock crab ovaries were also affected by the diet shift toward waste feed (low proportion of long-chain essential fatty acids), suggesting a potential influence on crab reproductive success. However, this remains to be assessed. Resulting effects of diet shifts on the ecosystem (e.g. reduction in the consumption of primary consumers and change of fatty acids transferred to predatory fish or gulls through decapods) should be evaluated to assess the spatial and temporal scales of the salmon aquaculture footprint. If the assessment reveals a strong footprint, measures to reduce wastes could be considered (e.g. pellets with greater buoyancy or with different recipe).",10.1016/j.scitotenv.2019.134863,Aquatic,Marine,"Bay of Fundy, Canada",Spatial,Rock crab (Cancer irroratus),Density,Aquaculture,Aquaculture,% terrestrially derived carbon & Fatty Acid Profile,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,"The contribution of food wastes from salmon aquaculture to decapod diets was assessed in the Bay of Fundy, Canada, using ecological tracers (fatty acids and stable isotopes) across multiple tissues. Both rock crab (Cancer irroratus) and American lobster (Homarus americanus) exhibited distinct fatty acid profiles beneath salmon farms compared to individuals from reference sites 2 km away. These differences were primarily driven by higher proportions of terrestrial fatty acids (e.g., 18:1n-9, 18:2n-6) originating from salmon feed, indicating assimilation of aquaculture-derived resources. Essential fatty acids (e.g., 20:5n-3, 22:6n-3) were markedly lower in crabs from farms, including in ovarian tissue, suggesting potential reproductive consequences. These results collectively indicate increased reliance on a novel, terrestrially derived energy source under salmon farms. Consequently, habitat coupling (i.e., aquaticÐterrestrial linkage) by decapods increased in response to aquaculture activity. ",Figure 2; Table 2,Fatty acid PCA & raw isotope values
"Andrea L. JaegerÊMiehls,ÊDoran M.ÊMason,ÊKenneth A.ÊFrank,ÊAnn E.ÊKrause,ÊScott D.ÊPeacor,ÊWilliam W.ÊTaylor",2009,"Invasive species impacts on ecosystem structure and function: A comparison of Oneida Lake, New York, USA, before and after zebra mussel invasion",Ecological Modelling,"Exotic species invasion is widely considered to affect ecosystem structure and function. Yet, few contemporary approaches can assess the effects of exotic species invasion at such an inclusive level. Our research presents one of the first attempts to examine the effects of an exotic species at the ecosystem level in a quantifiable manner. We used ecological network analysis (ENA) and a social network analysis (SNA) method called cohesion analysis to examine the effect of zebra mussel (Dreissena polymorpha) invasion on the Oneida Lake, New York, USA, food web. We used ENA to quantify ecosystem function through an analysis of food web carbon transfer that explicitly incorporated flow over all food web paths (direct and indirect). The cohesion analysis assessed ecosystem structure through an organization of food web members into subgroups of strongly interacting predators and prey. Our analysis detected effects of zebra mussel invasion throughout the entire Oneida Lake food web, including changes in trophic flow efficiency (i.e., carbon flow among trophic levels) and alterations of food web organization (i.e., paths of carbon flow) and ecosystem activity (i.e., total carbon flow). ENA indicated that zebra mussels altered food web function by shunting carbon from pelagic to benthic pathways, increasing dissipative flow loss, and decreasing ecosystem activity. SNA revealed the strength of zebra mussel perturbation as evidenced by a reorganization of food web subgroup structure, with a decrease in importance of pelagic pathways, a concomitant rise of benthic pathways, and a reorganization of interactions between top predator fish. Together, these analyses allowed for a holistic understanding of the effects of zebra mussel invasion on the Oneida Lake food web.",https://doi.org/10.1016/j.ecolmodel.2009.07.020,Aquatic,Lake,"Oneida Lake, New York, USA",Temporal,Whole food web,Density,Biological invasion,Dreissenid invasion,"Usable carbon flow, including feeding exchanges and exports (gC m__ yr__) and flow efficiency measured as the proportion of carbon passed from one trophic level to the next. Lindeman spines were also used to reduce the food web to linear chains of carbon pathways within subgroups to simplify and evaluate energy transfer efficiency across the system. ",Ecological network analysis with carbon as network currency for biomass (gC/m^2). ,Energetic modelling,Yes,Decrease,Decrease,"The authors found that zebra mussel invasion led to benthification of the Oneida Lake food web by reducing pelagic carbon flow and increasing benthic-associated energy pathways. Total respiratory carbon loss decreased by 23% (from 1015.6 to 777.9 gC m__ yr__), and total production dropped by 5% (from 624.1 to 589.1 gC m__ yr__). Subgroup analysis showed increased membership in benthic and zebra mussel-associated subgroups, with zebra mussel-linked taxa rising from 24 to 29, highlighting a shift toward benthic dominance.",Table 5; Table 6; Figure 2; Figure 3,Ecological network analysis with carbon as network currency for biomass (gCm_2) and exchange between taxa (gCm_2 yr_1).
"Xiaoxiao Li, Wei Yang, Xu Ma, Zhenchang Zhu, Tao Sun, Baoshan Cui, Zhifeng Yang",2023,Invasive Spartina alterniflora habitat forms high energy fluxes but low food web stability compared to adjacent native vegetated habitats,Journal of Environmental Management,"Invasive Spartina spp. mostly colonizes a bare tidal flat and then establishes a new vegetated habitat, where it promotes the productivity of local ecosystems. However, it was unclear whether the invasive habitat could well exhibit ecosystem functioning, e.g. how its high productivity propagates throughout the food web and whether it thereby develops a high food web stability relative to native vegetated habitats. By developing quantitative food webs for a long-established invasive Spartina alterniflora habitat and adjacent native salt marsh (Suaeda salsa) and seagrass (Zostera japonica) habitats in China's Yellow River Delta, we investigated the distributions of energy fluxes, assessed the stability of food webs, and investigated the net trophic effects between trophic groups by combining all direct and indirect trophic interactions. Results showed that the total energy flux in the invasive S. alterniflora habitat was comparable to that in the Z. japonica habitat, whereas 4.5 times higher than that in the S. salsa habitat. While, the invasive habitat had the lowest trophic transfer efficiencies. Food web stability in the invasive habitat was about 3 and 40 times lower than that in the S. salsa and Z. japonica habitats, respectively. Additionally, there were strong net effects caused by intermediate invertebrate species in the invasive habitat rather than by fish species in both native habitats. This study revealed the contradiction between the promotion of energy fluxes and the decrease of food web stability resulting from the invasion of S. alterniflora, which provides new insights into the community-based management of plant invasions.",https://doi.org/10.1016/j.jenvman.2023.117487,Aquatic,Estuary,"Yellow River Delta, Pacific coast of Northeastern China",Spatial,Whole food web,Density,Biological invasion,Plant invasion,Energy flux (g m_2 yr_1) from ingestionÊof each food source by each consumer,Adapted food-web energetics approach,Energetic modelling,Yes,Decrease,Decrease,"Energy fluxes through the salt marsh food webs differed signficantly depending on the presence of invasive Spartina alterniflora. In the S. alteriflora invaded habitat, detritus dominated energy fluxes to upper trophic levels (84% of the total flux), versus 53 and 58%, respectively, for detritus in the S. salsa and Z. japonica habitats. In contrast, primary producers (i.e., vascular plants, microphytobenthos, and phytoplankton) contributed 36% and 39% of the total fluxes in the S. salsa and Z. japonica habitats, respectively, but only 13% in the S. alterniflora habitat. The authors also found that the S. alterniflora habitat greatly promoted the total energy fluxes in the food web and the overall production compared to the native habitats. However, it mainly promoted production at lower trophic levels, and the trophic transfer efficiencies at higher trophic levels were lower than those of the native habitats.","Figure S4; Figure 2,3,4","An adapted food-web energetics approach by means of the ÒfluxwebÓ package in R (Gauzens et al., 2019). Energy fluxes to each consumer are defined as Fij = WijFj, where Fj is the sum of all the ingoing fluxes to consumer j and Wij is the proportion of Fj obtained from resource/prey i, after scaling consumer preferences wij to the biomass of the different resources/preys."
"Justin S. Lesser, Rosalie Bruel, Benjamin Marcy-Quay, Amelia T. McReynolds, Jason D. Stockwell, J. Ellen Marsden",2024,Whole-lake food web model indicates alewife invasion fueled lake trout restoration and altered patterns of trophic flow Lake Champlain,Journal of Great Lakes Research,"Food web responses to invasion can be context-dependent and therefore difficult to predict based only on invasion histories. Alewives (Alosa pseudoharengus) had generally negative impacts on the native fish communities of the Laurentian Great Lakes after they invaded in the 19th century and were thus expected to negatively impact the Lake Champlain food web after entering the lake in 2003. We evaluated the impact of alewives on the Lake Champlain food web by compiling 25 years of biomass, abundance, and diet data and constructing an Ecopath with Ecosim model of the coldwater food web. Model projections indicated that, contrary to the Great Lakes experience, biomass of native predators increased, mortality rates decreased, and overall trophic level of the pelagic fish community decreased after alewife entered the system. Consequently, the amount of primary production supporting predator biomass increased in response to the addition of prey fish production. The model suggests that alewife invasion in Lake Champlain could have altered food web structure by transferring more energy to tertiary consumers via pelagic pathways at the expense of other energy pathways and Òjump startedÓ wild lake trout recruitment by expanding the forage base. In contrast to the Great Lakes response to alewife invasion, Lake Champlain may represent an alternate trajectory for alewife invasion and demonstrates that alewife impacts are context-dependent.",https://doi.org/10.1016/j.jglr.2023.102249,Aquatic,Lake,"Lake Champlain, Vermont, New York (USA), and Qubec (CAN)",Temporal,Lake trout (Salvelinus namaycush),Density,Biological invasion,Alewife introduction,Energy intake (relative to primary production) by lake trout via pelagic and benthic fish prey,Ecosim/Ecopath,Energetic modelling,Yes,Decrease,Increase,"Lake trout energy consumed via the pelagic pathway doubled, while energy consumed via the benthic pathway remained constant through time. This suggests that lake trout diet became more dominated by pelagic energy sources, and reliance on pelagic and benthic pathways became less even (decreased habitat coupling). Total biomass of lake trout increased through time, suggesting total energy flux assimilated by lake trout increased with the invasion of alewife. ",Figure 3d,"Mass-balanced food web models (Ecopath/Ecosim). Consumption of prey derived from different habitats is modeled based on foraging arena theory, in which prey biomass is divided into a predation-vulnerable fraction and non-vulnerable fraction (Christensen and Walters, 2004) using the equation: Qji = pjivjiBiBj2vji + pjiBjSjiMji, where pji is the predation rate on group i by unit biomass of group j, vij is the vulnerability parameter, Bi and Bj are biomass for groups i and j, Sji are long-term forcing functions to model invasion effects, and Mij are user-defined mediation functions for indirect effects on Qij."
MJ Vander Zanden and JM Casselman and JB Rasmussen,1999,Stable isotope evidence for the food web consequences of species invasions in lakes,Nature,"Species invasions pose a serious threat to biodiversity and native ecosystems(1,2); however, predicting and quantifying the impacts of invasive species has proven problematic(3-6). Here we use stable isotope ratios to document the food-web consequences of the invasion of two non-native predators, smallmouth bass and rack bass, into Canadian lakes. Invaded lakes had lower littoral prey-fish diversity and abundance than uninvaded reference lakes. Consistent with this difference, lake trout from invaded lakes had more negative delta(13)C values (-29.2 parts per thousand versus -27.4 parts per thousand) and reduced trophic positions (3.3 versus 3.9) than those from reference lakes, indicating differences in food-web structure, Furthermore, a comparison of the pre- and post-invasion food webs of two recently invaded lakes showed that invasion was followed by substantial declines in littoral prey-fish abundance and the trophic position of lake trout, reflecting a shift in the diet of lake trout towards zooplankton and reduced dependence on littoral fish. This study demonstrates the use of stable isotope techniques to detect changes in food-web structure following perturbations; in this instance, bass-induced food-web shifts may have severe consequences for native species and ecosystems.",10.1038/46762,Aquatic,Lake,"Algonquin Park, Ontario, Canada",Spatial,Lake trout (Salvelinus namaycush),Density,Biological invasion,Species Introduction,% littoral derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Two-source mixing models using lake-specific pelagic and littoral prey-ish d13C endpoints indicated that lake trout from reference lakes averaged 62% littoral prey, compared with only 27% for lake trout from invaded lakes.",Table 2; Figure 1b,Two-source mixing model
"Eagles-Smith, Collin A and Suchanek, Thomas H and Colwell, Arthur E and Anderson, Norman L and Moyle, Peter B",2008,Changes in fish diets and food web mercury bioaccumulation induced by an invasive planktivorous fish,Ecological Applications : A Publication Of The Ecological Society Of America,"The invasion, boom, collapse, and reestablishment of a population of the planktivorous threadfin shad in Clear Lake, California, USA, were documented over a 20-year period, as were the effects of changing shad populations on diet and mercury (Hg) bioaccumulation in nearshore fishes. Threadfin shad competitively displaced other planktivorous fish in the lake, such as inland silversides, young-of-year (YOY) largemouth bass, and YOY bluegill, by reducing zooplankton abundance. As a result, all three species shifted from a diet that was dominated by zooplankton to one that was almost entirely zoobenthos. Stable carbon isotopes corroborated this pattern with each species becoming enriched in delta13C, which is elevated in benthic vs. pelagic organisms. Concomitant with these changes, Hg concentrations increased by approximately 50% in all three species. In contrast, obligate benthivores such as prickly sculpin showed no relationship between diet or delta13C and the presence of threadfin shad, suggesting that effects of the shad were not strongly linked to the benthic fish community. There were also no changes in Hg concentrations of prickly sculpin. The temporary extirpation of threadfin shad from the lake resulted in zooplankton densities, foraging patterns, isotope ratios, and Hg concentrations in pelagic fishes returning to pre-shad values. These results indicate that even transient perturbations of the structure of freshwater food webs can result in significant alterations in the bioaccumulation of Hg and that food webs in lakes can be highly resilient.",10.1890/06-1415.1,Aquatic,Lake,"Clear Lake, California, USA",Temporal,Largemouth bass (Micropterus nigricans)),Accessibility,Biological invasion,Species invasion,% pelagic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Largemouth bass decreased their pelagic reliance in the presence of invasive shad, and simultaneously increase their benthic reliance. Largemouth bass are primarily a benthic/littoral consumer and the top predator in the system.  Although the authors did not use baselines in their analysis, they did analyze stomach contents and argue for why the results do not reflect a baseline shift. Further support of this interpretation comes from the prickly sculpin, an obligate benthic feeder (Moyle 2002). Neither the stomach contents nor their d13C signatures differed in relation to shad abundance, indicating that isotopic changes seen in silversides and bass likely resulted from an increase in benthic reliance and not a baseline shift in the lake's isotopic values at the primary producer level.",Table 2;  Figure 7,Two-source mixing model
"Turschak, Benjamin A and Bunnell, David and Czesny, Sergiusz and HÌ¦Ì¦k, Tomas O and Janssen, John and Warner, David and Bootsma, Harvey A",2014,Nearshore energy subsidies support Lake Michigan fishes and invertebrates following major changes in food web structure,Ecology,"Aquatic food webs that incorporate multiple energy channels (e.g., nearshore benthic and pelagic) with varying productivity and turnover rates convey stability to biological communities by providing independent energy sources. Within the Lake Michigan food web, invasive dreissenid mussels have caused rapid changes to food web structure and potentially altered the channels through which consumers acquire energy. We used stable C and N isotopes to determine how Lake Michigan food web structure has changed in the past decade, coincident with the expansion of dreissenid mussels, decreased pelagic phytoplankton production, and increased nearshore benthic algal production. Fish and invertebrate samples collected from sites around Lake Michigan were analyzed to determine taxa-specific 13C:12C (delta13C) and 15N:14N (delta15N) ratios. Sampling took place during two distinct periods, 2002-2003 and 2010-2012, that spanned the period of dreissenid expansion, and included nearshore, pelagic and profundal fish and invertebrate taxa. The magnitude and direction of the delta13C shift indicated significantly greater reliance upon nearshore benthic energy sources among nearly all fish taxa as well as profundal invertebrates following dreissenid expansion. Although the mechanisms underlying this delta13C shift likely varied among species, possible causes include the transport of benthic algal production to offshore waters and increased feeding on nearshore prey items by pelagic and profundal species. delta15N shifts were more variable and of smaller magnitude across taxa, although declines in delta15N among some pelagic fishes suggest a shift to alternative prey resources. Lake Michigan fishes and invertebrates appear to have responded to dreissenid-induced changes in nutrient and energy pathways by switching from pelagic to alternative nearshore energy subsidies. Although large shifts in energy allocation (i.e., pelagic to nearshore benthic) resulting from invasive species appear to affect total production at upper trophic levels, changes in trophic structure and utilization of novel energy pathways may help to stabilize food webs following species invasions.",10.1890/13-0329.1,Aquatic,Lake,"Lake Michigan, USA",Temporal,"Fish community: Alosa pseudoharengus, Coregonus hoyi, Myoxocephalus thompsonii, Salvelinus namaycush, Rhinichthys cataractae, Osmerus mordax, Neogobius melanostomus, Cottus cognatus, Notropis hudsonius, Perca flavescens",Density,Biological invasion,Species invasion,% benthic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Circular statistics reveal that the mean angle of change in the d13C and d15N biplot from 2002-2003 to 2010-2012 was 0.218 ± 0.86 radians (±SD) for the pelagic/profundal fish community. This directional shift toward enriched d13C indicates increased reliance upon nearshore energy with the invasion of dreissenid mussels, which was consistent across taxa and size classes. ",Figure 2,Circular statistics model
"Wood, Kevin A and Hayes, Richard B and England, Judy and Grey, Jonathan",2017,Invasive crayfish impacts on native fish diet and growth vary with fish life stage,Aquatic Sciences,"Assessing the impacts of invasive organisms is a major challenge in ecology. Some widespread invasive species such as crayfish are potential competitors and reciprocal predators of ecologically and recreationally important native fish species. Here, we examine the effects of signal crayfish (Pacifastacus leniusculus) on the growth, diet, and trophic position of the chub (Squalius cephalus) in four rivers in Britain. Growth rates of 0+ chub were typically lower in sympatric populations with signal crayfish compared with allopatric populations, and this effect could be traced through to 2+ chub in one river. However, growth rates of older chub (5+ to 6+) were typically higher in the presence of crayfish. Sympatry with crayfish resulted in lower chub length-at-age and mass-at-age in half of the rivers sampled, with no change detected in the other rivers. Stable isotope analyses (d(13)C and d(15)N) revealed that both chub and crayfish were omnivorous, feeding at multiple trophic levels and occupying similar trophic positions. We found some evidence that chub trophic position was greater at invaded sites on one river, with no difference detected on a second river. Mixing models suggested crayfish were important food items for both small and large chub at invaded sites. This study provides evidence that invasive species can have both positive and negative effects on different life stages of a native species, with the net impact likely to depend on responses at the population level.",10.1007/s00027-016-0483-2,Aquatic,River,"Evenlode and Cherwell Rivers, United Kingdom",Spatial,Common chub (Squalius cephalus),Density,Biological invasion,Species invasion,source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"The authors found that chub from invaded sites incorporated the invasive crayfish into their diet, and also shifted their diet by reducing their reliance on terrestrial resources (larger, older chub) and small fish (both size classes) at the invaded sites. ",Figure 5,SIAR mixing model
Noelia Gobel and Gabriel Laufer and Ivan Gonzalez-Bergonzoni and Alvaro Soutullo and Matias Arim,2023,Invariant and vulnerable food web components after bullfrog invasion,Biological Invasions,"Alien species introductions produce strong impacts on invaded communities, altering their structure, diversity and functioning. These impacts are interrelated with changes in food web architecture. However, the reorganization or robustness of food webs in the face of invasion is a phenomenon poorly considered in ecology and conservation practices. In this article, we analyze the effects of the invasion of the American bullfrog, Lithobates catesbeianus, on the structure and function of invaded food webs. Specifically, we analyzed the integration of energetic channels by top predators, the relative use of alternative energetic paths by different functional groups and its dependence on body size among invaded and uninvaded communities in Uruguay, South America. The integration of energetic paths at high trophic positions by large body sized consumers was a pervasive feature of food webs among all studied ponds, in spite of turnover in top predator identity and large changes in community composition. Bullfrog post-metamorphs presented high trophic positions, integrating the primary producers and detritus paths, acting as apex predators in invaded food webs. The bullfrog tadpoles presented intermediate positions and were associated with the detritivorous pathway. On the other hand, the relative importance of the primary producers and detritus as carbon sources assimilated into the biomass of fish and invertebrates was altered in invaded systems. The robustness in the integration pattern of energy channels is congruent with its proposed central role in the stability of food webs. These results advance the understanding of the effect of invasions on key structural features of food webs, notably underrepresented in the invasion literature.",10.1007/s10530-022-02956-7,Aquatic,Pond,"Uruguay, South America",Spatial,Characidae fishes,Density,Biological invasion,Species invasion,% allochthonous derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Characidae fishes increased their reliance on the detrital pathway in invaded ponds relative to uninvaded ponds, and drastically decreased their reliance on the autochonous pathway. Fish did not change the proportion of allochthonous assimilation in their biomass with body size in the uninvaded pond, as happened in the invaded system. Fish at the invaded pond significantly increased their allochthonous supported biomass along their body size range. Fish that coexisted with bullfrogs had a proportion of 50% allochthonous supported biomass in the smallest sizes and a proportion of 75% in the largest sizes, while fish in the control site (uninvaded pond) had a contribution from allochthonous source of approximately 30%, independent of individual body size. In the selected model, the interaction between body size and bullfrog presence was statistically significant. Result direction shows ""decrease"" because large body sizes are considered to represent fish with a higher trophic position, therefore we are comparing 75% allochthonous reliance in invaded sites and 30% allochtonous reliance in uninvaded sites. ",Figure 2; Figure 4c,MixSIAR
"P. Laffaille, J. Ptillon, E. Parlier, L. Valry, F. Ysnel , A. Radureau, E. Feunteun, J.-C. Lefeuvre, ",2005,Does the invasive plant Elymus athericus modify fish diet in tidal salt marshes?,ESTUARINE COASTAL AND SHELF SCIENCE,"The invasion of Mont-Saint-Michel Bay salt marshes (France) by a grass species (Elymus athericus) has led to important changes in vegetation cover, which is likely to modify the habitat for many invertebrates. Some of them constitute the main food items for several fish species, such as young sea bass (Dicentrarchus labrax) and sand goby (Pomatoschistus minutus), that feed in salt marsh creeks during high fides. As a result, fish nursery functions of salt marshes Could be modified by the E. athericus invasion. In order to test this hypothesis, gut contents of the two most abundant fish species (sea bass and sand goby) were compared before and after E. athericus invasion in the same salt marsh creek and using the same methodology. The accessibility and availability of the main food item, the semi-terrestrial amphipod Orchestia gammarella, were estimated and compared between invaded (dominated by E. athericus) and original areas (dominated by Atriplex portulacoides). Gut content analysis showed a significantly greater percentage of fish leaving with empty guts from E. athericus areas than from A. portulacoides areas. The sea bass diet composition study showed a major shift in the relative importance of the main food items: before E. athericus invasion, diets were dominated by the semi-terrestrial species O. gammarella, whereas after the E. athericus invasion they were dominated by a marine mysid Neomysis integer. The same trend was found for sand gobies. with a shift of the main food item from O. gammarella before invasion to the polychaete Hediste diversicolor after invasion. These trophic changes may be explained by the lower accessibility and availability of O. gammarella in invaded communities than in natural ones. The E. athericus invasion, observed throughout northern Europe, is thus likely to disturb trophic function of natural salt marshes for fish. This preliminary study of the E. athericus invasion is also an illustration that invasive species are an urgent problem in conservation biology. (c) 2005 Elsevier Ltd. All rights reserved.",10.1016/j.ecss.2005.07.023,Aquatic,Estuary,Mont-Saint-Michel Bay salt marshes (France),Temporal,sea bass (Dicentrarchus labrax),Accessibility,Biological invasion,Invasion of grass species (Elymus athericus),Average % biomass and MFI score of difference prey items in full sea bass stomachs ,Gut content analysis ,Gut content analysis,Yes,Increase,NA,"The sea bass diet composition showed a major shift in the relative importance of the main food items: before E. athericus invasion, diets were dominated by the semi-terrestrial species O. gammarella, whereas after the E. athericus invasion they were dominated by a marine mysid Neomysis integer. Specifically,  the biomass contributions of Neomysis integer (56.3%) and Orchestia gammarellus (39.8%) to sea bass diets became markedly more balanced (increased coupling) compared to pre-invasion levels, when Orchestia dominated (72.9%) and Neomysis was minimal (8.0%). ",Table 1,"Fi=Percentage of full stomachs where prey i was present (percentage of occurrence)
Ni=Numerical percentage of prey i in the food item community (percentage abundance)
Bi=Biomass percentage of prey i in the food item community (biomass composition)
Main Food Index (MFI) for food item i = [ (Bi _ (Ni + Fi)/2 )^1/2 ] / ·(MFI) _ 100
- MFI modified by Laffaille et al. (1999); comparisons made using G test or likelihood ratio test (Williams, 1976)"
